symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"fatigue, confusion, nausea, jaundice, pale stools",Liver Failure,Antibiotics,Bhumi Amla,Complete rest,Liver failure is life-threatening and requires emergency hospitalization,Yes
"scaling, burning, swelling",Skin Rash,Antihistamines,Neem,Avoid scratching,"Keep skin clean and moisturized, identify and avoid triggers",No
"body aches, cough, congestion",Common Cold,Cetirizine,Giloy,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
"confusion, unconsciousness",Drug Overdose,Activated Charcoal,Call poison control,Call emergency immediately,Drug overdose requires immediate emergency medical intervention,Yes
"flaky skin, tightness, itching, scaling, rough texture",Dry Skin,Petroleum Jelly,Ghee,Humidifier,Keep skin moisturized and avoid harsh products,No
"nausea, pale stools, swelling, confusion, fatigue",Liver Failure,Antibiotics,Kalmegh,Light diet,Liver failure is life-threatening and requires emergency hospitalization,Yes
"fungal infection, ingrown nails, splitting, brittle nails",Nail Problems,Proper Trimming,Tea Tree Oil,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"unintended weight loss, loss of muscle mass, loose clothing, weakness, fatigue",Weight Loss,Nutritional Supplements,Vidarikand,High calorie foods,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"concentration problems, irritability, early morning awakening, frequent awakening, daytime fatigue",Insomnia,Zolpidem,Brahmi,Relaxing bedtime routine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"hunger, slow wound healing",Diabetes Type 2,Sitagliptin,Gudmar,Drink bitter gourd juice,Diabetes can be well managed with proper medication and lifestyle changes,No
"numbness, swelling, stiffness, arm ache",Arm Pain,Ibuprofen,Mahanarayana Oil,Rest,Most arm pain resolves with rest and appropriate treatment,No
"limited movement, instability, clicking sound, knee ache, stiffness",Knee Pain,Ibuprofen,Yograj Guggulu,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"fungal infection, splitting, brittle nails, ingrown nails",Nail Problems,Proper Trimming,Tea Tree Oil,Proper trimming,Maintain good nail hygiene and avoid trauma to nails,No
"redness, swelling",Minor Burns,Cool Water,Honey,Avoid ice,"Cool water immediately, keep burn clean and protected",No
"sleep problems, persistent sadness, guilt, concentration problems",Depression,Fluoxetine,Jatamansi,Regular exercise,Depression is treatable - seek professional help and maintain social connections,No
"tenderness, swelling, bad breath, gum ache, bleeding",Gum Pain,Topical Gels,Bakul,Antiseptic mouthwash,Good oral hygiene prevents most gum problems,No
"unconsciousness, blue skin, no pulse, collapse, no breathing",Cardiac Arrest,Lidocaine,Drakshasava,Clear airway,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"profuse sweating, sweating without heat",Excessive Sweating,Iontophoresis,Alum,Manage stress,Use clinical strength antiperspirants and wear breathable clothing,No
"hip ache, limited movement, pain in groin, difficulty walking, stiffness",Hip Pain,Topical Gels,Maharasnadi Kwath,Heat therapy,Hip pain often improves with physiotherapy and appropriate exercises,No
"itching, red eyes, burning",Eye Irritation,Antibiotic Drops,Honey,Clean hands before touching,"Avoid allergens and irritants, practice good eye hygiene",No
"stiffness, arch pain, foot ache, heel pain",Foot Pain,Foot Pads,Nirgundi,Warm water soak,Proper footwear and foot care prevent most foot problems,No
"minor blisters, swelling, redness, pain",Minor Burns,Burn Gel,Ghee,Avoid ice,"Cool water immediately, keep burn clean and protected",No
"dizziness, nausea, throbbing",Headache,Paracetamol,Saraswat Churna,Apply cold compress,Most headaches respond well to rest and pain relievers,No
"stomach pain, nausea, weakness, loss of appetite",Vomiting,Ondansetron,Lavang,Ginger water,Replace lost fluids and seek help if vomiting persists,No
"red patches, swelling, itching, burning",Skin Rash,Antihistamines,Turmeric,Oatmeal bath,"Keep skin clean and moisturized, identify and avoid triggers",No
"swelling, shock, charred skin, severe pain, difficulty breathing",Severe Burns,Tetanus Injection,Manjistha,Call emergency,Severe burns need immediate medical attention to prevent complications,Yes
"high body temperature, rapid pulse, confusion, nausea, hot dry skin",Heat Stroke,IV Fluids,Immediate cooling needed,Call emergency,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"sweating, feeling sick, urge to vomit, loss of appetite, dizziness",Nausea,Domperidone,Pudina,Ginger tea,Stay hydrated and eat bland foods when nauseous,No
"flaky scalp, itching, dry scalp",Dandruff,Coal Tar,Fenugreek,Manage stress,Use medicated shampoos regularly and manage stress levels,No
"swelling, leg ache, cramps, weakness",Leg Pain,Paracetamol,Yograj Guggulu,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"flaky scalp, dry scalp, itching, white flakes, irritation",Dandruff,Coal Tar,Coconut Oil,Manage stress,Use medicated shampoos regularly and manage stress levels,No
"swelling, risk of infection, pain, embedded object",Splinters,Pain Relief,Neem,Clean area,Remove splinter completely and watch for signs of infection,No
"rattling sound, productive cough, difficulty breathing, mucus, chest congestion",Wet Cough,Guaifenesin,Bharangi,Ginger tea,Expectorants help thin mucus and make coughing more productive,No
"low fever, sneezing, congestion, headache",Common Cold,Ambroxol,Tulsi,Drink warm liquids,Common cold usually resolves in 7-10 days with proper rest,No
"confusion, vision problems, severe headache",Stroke,Warfarin,Brahmi,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"difficulty breathing, productive cough, chest congestion, rattling sound, mucus",Wet Cough,Expectorants,Sitopaladi Churna,Warm liquids,Expectorants help thin mucus and make coughing more productive,No
"early morning awakening, frequent awakening, daytime fatigue, concentration problems",Insomnia,Zolpidem,Brahmi,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"rapid heartbeat, extreme thirst, confusion",Severe Dehydration,Electrolyte Solutions,ORS,Monitor consciousness,Severe dehydration requires immediate IV fluid replacement,Yes
"sensitivity, throbbing pain",Tooth Pain,Ibuprofen,Yashtimadhu,Soft foods,See dentist promptly for proper diagnosis and treatment,No
"sensitivity to light, fatigue",Migraine,Rizatriptan,Pathyadi Kwath,Rest in dark room,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"swelling, difficulty walking, tenderness, ankle ache",Ankle Pain,Ibuprofen,Rasna,Proper footwear,Most ankle injuries heal with rest and appropriate care,No
"neck stiffness, muscle spasms, shoulder pain, pain turning head",Neck Pain,Topical Gels,Vishgarbha Oil,Proper pillow,Maintain good posture and use ergonomic workstation setup,No
"loss of interest, appetite changes, sleep problems, guilt, persistent sadness",Depression,Mirtazapine,Mandukaparni,Meditation,Depression is treatable - seek professional help and maintain social connections,No
"rapid pulse, pale skin, dizziness",Severe Bleeding,Clotting Factors,Arjuna,Apply direct pressure,Apply firm pressure to bleeding area and call emergency immediately,Yes
"difficulty breathing, rattling sound, chest congestion, mucus",Wet Cough,Bromhexine,Sitopaladi Churna,Steam inhalation,Expectorants help thin mucus and make coughing more productive,No
"bad breath, tenderness, bleeding",Gum Pain,Professional Cleaning,Nimba,Salt water rinse,Good oral hygiene prevents most gum problems,No
"fatigue, weight loss",Diabetes Type 2,Glimepiride,Jamun,Drink bitter gourd juice,Diabetes can be well managed with proper medication and lifestyle changes,No
"shortness of breath, wheezing",Breathing Problems,Oxygen Therapy,Sitopaladi Churna,Avoid triggers,"Identify and avoid breathing triggers, keep rescue medications handy",No
"weakness, cramps, tingling, leg ache, stiffness",Leg Pain,Muscle Relaxants,Nirgundi,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"poor circulation, blue feet",Cold Feet,Foot Care,Cinnamon,Foot massage,"Keep feet warm and dry, improve circulation with movement",No
"swelling, tingling",Arm Pain,Muscle Relaxants,Vishgarbha Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"slow wound healing, weight loss",Diabetes Type 2,Insulin,Methi,Drink bitter gourd juice,Diabetes can be well managed with proper medication and lifestyle changes,No
"nausea, high body temperature, headache",Heat Stroke,IV Fluids,Mint,Remove excess clothing,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"pain at night, shoulder ache, weakness",Shoulder Pain,Topical Gels,Yograj Guggulu,Avoid overhead activities,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"wet clothes, profuse sweating",Excessive Sweating,Botox Injections,Rose Water,Antiperspirants,Use clinical strength antiperspirants and wear breathable clothing,No
"difficulty falling asleep, frequent waking, fatigue, early waking",Sleep Problems,Clonazepam,Tagara,Dark cool room,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"runny nose, cough",Common Cold,Dextromethorphan,Sitopaladi Churna,Gargle with salt water,Common cold usually resolves in 7-10 days with proper rest,No
"watery eyes, congestion, frequent sneezing, nasal irritation",Sneezing,Antihistamines,Ela,Saline rinse,Identify and avoid triggers that cause sneezing,No
"itching, watery eyes, sensitivity to light, burning",Eye Irritation,Artificial Tears,Triphala,Cold compress,"Avoid allergens and irritants, practice good eye hygiene",No
"nasal discharge, congestion, sneezing, reduced smell",Runny Nose,Cetirizine,Tulsi,Rest,Keep nasal passages moist and avoid irritants,No
"severe headache, sensitivity to light, confusion, fever, stiff neck",Meningitis,Ceftriaxone,Saraswatarishta,Monitor symptoms,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"neck tension, sensitivity to light, pressure, fatigue",Headache,Paracetamol,Pathyadi Kwath,Apply cold compress,Most headaches respond well to rest and pain relievers,No
"insomnia, mood changes, difficulty concentrating, fatigue, digestive issues",Jet Lag,Stimulants,Ashwagandha,Adjust sleep schedule,Gradually adjust to new time zone and get sunlight exposure,No
"dehydration, muscle aches, high body temperature",Fever,Paracetamol,Tulsi,Light diet,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"limited movement, hip ache, difficulty walking",Hip Pain,Ibuprofen,Rasna,Weight management,Hip pain often improves with physiotherapy and appropriate exercises,No
"head pain, sensitivity to light",Headache,Sumatriptan,Saraswat Churna,Gentle head massage,Most headaches respond well to rest and pain relievers,No
"blackheads, enlarged pores, acne, greasy feeling, shiny skin",Oily Skin,Retinoids,Rose Water,Use toner,Use oil-free products and maintain consistent skincare routine,No
"confusion, loss of balance",Stroke,Amlodipine,Brahmi,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"mood changes, difficulty falling asleep",Insomnia,Eszopiclone,Shankhpushpi,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"chest tightness, sweating, panic, wheezing, blue lips",Severe Asthma Attack,Budesonide,Vasaka,Sit upright,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"joint stiffness, pain with movement, warmth in joints, reduced mobility, swelling",Joint Pain,Hyaluronic Acid,Yograj Guggulu,Warm oil massage,Regular exercise and weight management help preserve joint health,No
"bad breath, bleeding, redness, swelling",Gum Pain,Antiseptic Mouthwash,Triphala,Salt water rinse,Good oral hygiene prevents most gum problems,No
"fatigue, mood changes, difficulty concentrating",Jet Lag,Adjustment Pills,Shankhpushpi,Adjust sleep schedule,Gradually adjust to new time zone and get sunlight exposure,No
"acne, shiny skin",Oily Skin,Retinoids,Turmeric,Clay masks,Use oil-free products and maintain consistent skincare routine,No
"confusion, fatigue",Kidney Failure,Iron Supplements,Sariva,Seek immediate medical care,Kidney failure requires immediate medical intervention and dialysis,Yes
"tingling in feet, frequent urination, slow wound healing, blurred vision, fatigue",Diabetes Type 2,Pioglitazone,Karela,Exercise regularly,Diabetes can be well managed with proper medication and lifestyle changes,No
"abdominal cramps, loose stools, dehydration, frequent bowel movements, nausea",Diarrhea,ORS,Dadimashtak Churna,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"tenderness, swelling, difficulty walking, stiffness, ankle ache",Ankle Pain,Ankle Support,Rasna,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"burning, chest discomfort, muscle pain",Chest Pain,Antacids,Hridayarnava Ras,Warm compress,Non-cardiac chest pain usually responds to rest and pain relief,No
"swelling, difficulty eating, burning",Tongue Pain,B-Complex Vitamins,Triphala,Good oral hygiene,Most tongue pain resolves with proper oral care and avoiding irritants,No
"pain, bleeding",Minor Cuts,Pain Relievers,Honey,Apply pressure,"Keep wound clean and dry, change dressing regularly",No
"morning headaches, disturbed sleep, loud breathing during sleep, daytime fatigue",Snoring,Surgery,Peppermint,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"muscle aches, nausea, sensitivity to light, fatigue",Hangover,Pain Relievers,Mint,Drink water,Time and hydration are the best cures for hangover,No
"heartburn, loss of appetite, nausea, bloating, vomiting",Gastritis,Rebeprazole,Licorice,Coconut water,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"stomach pain, indigestion",Gastritis,Simethicone,Amla,Ginger tea,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"stiffness, limited movement, weakness, pain at night",Shoulder Pain,Steroid Injections,Rasna,Ice therapy,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"severe headache, nausea, confusion, stiff neck, fever",Meningitis,Vancomycin,Shankhpushpi,Avoid close contact,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"abdominal cramps, loose stools, weakness",Diarrhea,Racecadotril,Jeeraka Aristha,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"difficulty walking, pain in groin",Hip Pain,Topical Gels,Rasna,Weight management,Hip pain often improves with physiotherapy and appropriate exercises,No
"confusion, extreme thirst, rapid heartbeat",Severe Dehydration,Electrolyte Solutions,Coconut Water,Seek immediate medical care,Severe dehydration requires immediate IV fluid replacement,Yes
"reduced mobility, muscle weakness, stiffness, joint warmth",Arthritis,Glucosamine,Nirgundi,Gentle exercises,Regular exercise and physiotherapy help maintain joint mobility,No
"arch pain, heel pain, foot ache, toe pain, stiffness",Foot Pain,Arch Supports,Mahanarayana Oil,Foot massage,Proper footwear and foot care prevent most foot problems,No
"blue skin, panic, inability to breathe, loss of consciousness, unable to speak",Choking,Bronchoscopy,Clear airway first,Heimlich maneuver,Perform Heimlich maneuver immediately and call emergency services,Yes
"heartburn, bloating",Gastritis,Famotidine,Amalaki,Ginger tea,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"rapid pulse, difficulty breathing, loss of consciousness",Severe Allergic Reaction,Hydrocortisone,Haridra,Keep airway clear,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"cold fingers, blue fingers, poor circulation",Cold Hands,Massage,Ginger,Massage hands,Keep hands warm and improve circulation with exercise,No
"foot odor, unpleasant smell",Body Odor,Botox,Sandalwood,Daily bathing,Good personal hygiene and appropriate products control body odor,No
"chest congestion, mucus",Wet Cough,Expectorants,Sitopaladi Churna,Honey,Expectorants help thin mucus and make coughing more productive,No
"gum ache, redness, swelling, bleeding, tenderness",Gum Pain,Pain Relievers,Yashtimadhu,Gentle brushing,Good oral hygiene prevents most gum problems,No
"lip soreness, cracking",Lip Pain,Pain Relievers,Honey,Lip balm,Keep lips moisturized and protected from environmental factors,No
"difficulty breathing, confusion, unconsciousness, vomiting, seizures",Poisoning,Flumazenil,Mahamanjisthadi Kwath,Call poison control,Contact poison control center immediately - time is critical,Yes
"nausea, abdominal pain, bloating",Stomach Pain,Antacids,Hingwashtak Churna,Ginger tea,Most stomach pain improves with rest and dietary modifications,No
"loss of appetite, stomach pain, throwing up, dehydration, nausea",Vomiting,ORS,Dhanyak,ORS solution,Replace lost fluids and seek help if vomiting persists,No
"difficulty walking, redness, toe ache",Toe Pain,Ibuprofen,Turmeric,Foot hygiene,Proper foot care and well-fitting shoes prevent most toe problems,No
"no pulse, blue skin, unconsciousness",Cardiac Arrest,Amiodarone,Pushkarmool,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"difficulty breathing, unconsciousness, irregular heartbeat",Electrocution,Tetanus Shot,Mandukaparni,Turn off power source,Turn off power source before helping and seek immediate medical attention,Yes
"sweating, nausea",Motion Sickness,Meclizine,Ginger,Ginger tea,Take motion sickness medication before traveling,No
"swelling of face, loss of consciousness",Severe Allergic Reaction,Adrenaline,Mahamanjisthadi Kwath,Call emergency immediately,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"throat irritation, non-productive cough",Dry Cough,Dextromethorphan,Kantakari,Honey with warm water,Stay hydrated and use humidifier to soothe throat,No
"swelling, burning, taste changes, tongue soreness",Tongue Pain,Topical Anesthetics,Honey,Cool foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"stiff neck, fever",Meningitis,Mannitol,Shankhpushpi,Call emergency immediately,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"not feeling hungry, nausea, food aversion, early satiety",Loss of Appetite,Appetite Stimulants,Jeera,Pleasant food presentation,Eat small frequent meals and include favorite foods to stimulate appetite,No
"severe headache, fever",Meningitis,Ceftriaxone,Mandukaparni,Call emergency immediately,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"unintended weight loss, weakness, loose clothing, fatigue",Weight Loss,Nutritional Supplements,Vidarikand,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"vomiting, headache, dizziness",Motion Sickness,Ondansetron,Cardamom,Fresh air,Take motion sickness medication before traveling,No
"confusion, difficulty concentrating, poor focus, losing things",Memory Problems,Piracetam,Shankhpushpi,Mental exercises,Keep mind active with mental exercises and maintain healthy lifestyle,No
"nail problems, redness, toe ache",Toe Pain,Ibuprofen,Turmeric,Proper footwear,Proper foot care and well-fitting shoes prevent most toe problems,No
"neck stiffness, muscle spasms, shoulder pain, pain turning head",Neck Pain,Ibuprofen,Rasna,Proper pillow,Maintain good posture and use ergonomic workstation setup,No
"pain, discoloration",Bruises,Arnica,Comfrey,Elevation,Most bruises heal naturally within 2-3 weeks,No
"blue lips, inability to speak, chest tightness, wheezing",Severe Asthma Attack,Salbutamol,Vasaka,Call emergency,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"guilt, loss of interest, appetite changes",Depression,Mirtazapine,Ashwagandha,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"unpleasant smell, foot odor",Body Odor,Botox,Mint,Natural deodorizers,Good personal hygiene and appropriate products control body odor,No
"muscle tension, sleep problems, fatigue",Anxiety,Propranolol,Saraswatarishta,Deep breathing exercises,Practice relaxation techniques and consider counseling for anxiety management,No
"loss of consciousness, vomiting",Severe Allergic Reaction,Prednisolone,Tulsi,Keep airway clear,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"no pulse, blue skin, unconsciousness, collapse, no breathing",Cardiac Arrest,Amiodarone,Pushkarmool,Continue until help arrives,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"indigestion, belching, stomach pain, bloating, sour taste",Acidity,Domperidone,Praval Pishti,Drink cold milk,Lifestyle changes and proper diet can effectively manage acidity,No
"redness, bleeding, gum ache, bad breath, tenderness",Gum Pain,Professional Cleaning,Bakul,Gentle brushing,Good oral hygiene prevents most gum problems,No
"swelling, fatigue, joint pain, morning stiffness",Arthritis,Ibuprofen,Shallaki,Turmeric milk,Regular exercise and physiotherapy help maintain joint mobility,No
"stiffness, limited movement",Knee Pain,Hyaluronic Acid,Boswellia,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"ringing, discharge",Ear Pain,Decongestants,Sarshapa Taila,Pain relievers,Most ear pain resolves with proper treatment and care,No
"voice loss, hoarse voice, vocal fatigue, pitch changes, throat clearing",Voice Problems,Voice Rest,Mulethi,Voice rest,Rest your voice and stay hydrated for vocal cord healing,No
"sweating, extreme difficulty breathing, blue lips, wheezing",Severe Asthma Attack,Theophylline,Talisadi Churna,Stay calm,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"confusion, no urination",Severe Dehydration,IV Fluids,ORS,Seek immediate medical care,Severe dehydration requires immediate IV fluid replacement,Yes
"hives, burning sensation, dry skin, scaling",Skin Allergy,Cetirizine,Turmeric,Cold compress,"Identify and avoid triggers, keep skin moisturized",No
"itching, fullness in ear, discharge, ear ache",Ear Pain,Ear Drops,Nirgundi,Pain relievers,Most ear pain resolves with proper treatment and care,No
"neck stiffness, headache",Neck Pain,Topical Gels,Mahanarayana Oil,Proper pillow,Maintain good posture and use ergonomic workstation setup,No
"white flakes, flaky scalp, irritation",Dandruff,Selenium Sulfide,Fenugreek,Manage stress,Use medicated shampoos regularly and manage stress levels,No
"frequent infections, bone pain, muscle weakness, depression",Vitamin D Deficiency,Cholecalciferol,Praval Pishti,Sunlight exposure,Regular sunlight exposure and vitamin D supplements help,No
"rapid breathing, fruity breath, very high blood sugar, weakness",Diabetic Emergency,Insulin,Karela,Check blood sugar,Diabetic emergency requires immediate hospital care,Yes
"confusion, difficulty concentrating",Memory Problems,Omega-3,Shankhpushpi,Regular exercise,Keep mind active with mental exercises and maintain healthy lifestyle,No
"clicking sound, stiffness, knee ache",Knee Pain,Diclofenac,Yograj Guggulu,Elevation,Maintain healthy weight and do regular low-impact exercises for knee health,No
"swollen glands, throat pain, scratchy feeling, difficulty swallowing, hoarse voice",Sore Throat,Antibiotics if bacterial,Mulethi,Honey with warm water,Most sore throats are viral and resolve with symptomatic treatment,No
"swelling, nausea",Kidney Failure,Iron Supplements,Varun,Monitor fluid intake,Kidney failure requires immediate medical intervention and dialysis,Yes
"loss of appetite, vomiting, stomach pain",Gastritis,Simethicone,Licorice,Coconut water,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"abdominal pain, cramping",Stomach Pain,Probiotics,Ajwain,Rest,Most stomach pain improves with rest and dietary modifications,No
"losing things, forgetfulness",Memory Problems,Modafinil,Shankhpushpi,Puzzles,Keep mind active with mental exercises and maintain healthy lifestyle,No
"fullness in ear, ringing",Ear Pain,Ibuprofen,Dashmoola,Rest,Most ear pain resolves with proper treatment and care,No
"frequent urination, hunger",Diabetes Type 2,Glimepiride,Gudmar,Exercise regularly,Diabetes can be well managed with proper medication and lifestyle changes,No
"brittle nails, fungal infection, splitting",Nail Problems,Biotin,Turmeric,Keep nails clean,Maintain good nail hygiene and avoid trauma to nails,No
"stiffness, pain with gripping, swelling, elbow ache",Elbow Pain,Ibuprofen,Sahacharadi Oil,Avoid repetitive activities,Elbow pain improves with rest and avoiding aggravating activities,No
"clutching throat, inability to breathe",Choking,Oxygen,Clear airway first,Clear visible obstruction,Perform Heimlich maneuver immediately and call emergency services,Yes
"no breathing, collapse, no pulse, unconsciousness",Cardiac Arrest,Atropine,Pushkarmool,Call emergency,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"belching, nausea",Indigestion,Pantoprazole,Ajwain,Avoid spicy food,Eat slowly and avoid overeating to prevent indigestion,No
"fungal infection, brittle nails",Nail Problems,Antifungal Medications,Coconut Oil,Proper trimming,Maintain good nail hygiene and avoid trauma to nails,No
"cough, sore throat, headache, sneezing",Common Cold,Ambroxol,Tulsi,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
"joint stiffness, warmth in joints, pain with movement, reduced mobility",Joint Pain,Chondroitin,Shallaki,Hot and cold therapy,Regular exercise and weight management help preserve joint health,No
"slow wound healing, bone pain",Vitamin D Deficiency,Alfacalcidol,Laksha,Fish oil,Regular sunlight exposure and vitamin D supplements help,No
"reduced mobility, joint pain, morning stiffness, muscle weakness, fatigue",Arthritis,Glucosamine,Nirgundi,Hot and cold compress,Regular exercise and physiotherapy help maintain joint mobility,No
"loss of appetite, sweating, high body temperature",Fever,Ibuprofen,Sudarshan Churna,Drink plenty of fluids,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"bloating, straining",Constipation,Lactulose,Castor Oil,Regular exercise,Increase fiber intake and fluid consumption for regular bowel movements,No
"coughing, chest tightness, wheezing",Asthma,Montelukast,Bharangi,Honey with warm water,Always carry rescue inhaler and identify your asthma triggers,No
"pain radiating to legs, muscle spasms, difficulty moving, lower back pain, stiffness",Back Pain,Paracetamol,Mahanarayana Oil,Gentle stretching,Most back pain improves with rest and physiotherapy,No
"blurred vision, frequent urination, slow wound healing",Diabetes Type 2,Sitagliptin,Jamun,Monitor blood sugar,Diabetes can be well managed with proper medication and lifestyle changes,No
"swelling, reduced mobility",Joint Pain,Hyaluronic Acid,Boswellia,Turmeric milk,Regular exercise and weight management help preserve joint health,No
"difficulty walking, tenderness, swelling, ankle ache",Ankle Pain,Ice Packs,Vishgarbha Oil,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"reduced mobility, swelling, pain with movement, joint stiffness, warmth in joints",Joint Pain,Chondroitin,Shallaki,Gentle exercise,Regular exercise and weight management help preserve joint health,No
"fatigue, muscle weakness, depression",Vitamin D Deficiency,Cholecalciferol,Godanti Bhasma,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"concentration problems, difficulty falling asleep, daytime fatigue, frequent awakening, mood changes",Insomnia,Eszopiclone,Shankhpushpi,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"throat irritation, hoarse voice, chest discomfort",Common Cough,Dextromethorphan,Tulsi,Gargle with salt water,Most coughs resolve with symptomatic treatment and adequate rest,No
"reduced smell, postnasal drip, congestion, nasal discharge, sneezing",Runny Nose,Pseudoephedrine,Tulsi,Saline nasal rinse,Keep nasal passages moist and avoid irritants,No
"abdominal pain, incomplete evacuation",Constipation,Docusate,Isabgol,High fiber foods,Increase fiber intake and fluid consumption for regular bowel movements,No
"lack of energy, difficulty concentrating, sleepiness, weakness",Fatigue,Caffeine,Brahmi,Adequate sleep,Maintain regular sleep schedule and balanced diet for energy,No
"discharge, itching",Ear Pain,Ibuprofen,Bilva Taila,Pain relievers,Most ear pain resolves with proper treatment and care,No
"discoloration, ingrown nails, splitting, brittle nails",Nail Problems,Topical Treatments,Tea Tree Oil,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"appetite changes, persistent sadness",Depression,Sertraline,Brahmi,Regular exercise,Depression is treatable - seek professional help and maintain social connections,No
"tingling, poor circulation, numbness",Cold Feet,Warming Socks,Cinnamon,Foot massage,"Keep feet warm and dry, improve circulation with movement",No
"incomplete evacuation, abdominal pain, straining",Constipation,Polyethylene Glycol,Isabgol,Regular exercise,Increase fiber intake and fluid consumption for regular bowel movements,No
"itching, burning",Skin Rash,Moisturizers,Neem,Oatmeal bath,"Keep skin clean and moisturized, identify and avoid triggers",No
"tickling sensation, throat irritation",Dry Cough,Steam Inhalation,Kantakari,Throat lozenges,Stay hydrated and use humidifier to soothe throat,No
"pain, redness, swelling",Minor Burns,Bandages,Turmeric,Cool water,"Cool water immediately, keep burn clean and protected",No
"vomiting, difficulty breathing, blue lips, confusion",Drug Overdose,Naloxone,No herbal alternatives,Monitor breathing,Drug overdose requires immediate emergency medical intervention,Yes
"productive cough, difficulty breathing, rattling sound",Wet Cough,Bromhexine,Talisadi Churna,Ginger tea,Expectorants help thin mucus and make coughing more productive,No
"swollen glands, difficulty swallowing, scratchy feeling, throat pain",Sore Throat,Paracetamol,Mulethi,Steam inhalation,Most sore throats are viral and resolve with symptomatic treatment,No
"blackheads, greasy feeling, shiny skin, enlarged pores, acne",Oily Skin,Oil-free Products,Turmeric,Use toner,Use oil-free products and maintain consistent skincare routine,No
"pain with movement, warmth in joints, joint stiffness, swelling, reduced mobility",Joint Pain,Glucosamine,Nirgundi,Gentle exercise,Regular exercise and weight management help preserve joint health,No
"sudden weakness, loss of balance, face drooping",Stroke,Aspirin,Brahmi,Call emergency immediately,Time is brain - every minute matters in stroke treatment,Yes
"discomfort, incomplete evacuation",Constipation,Polyethylene Glycol,Castor Oil,Drink warm water with lemon,Increase fiber intake and fluid consumption for regular bowel movements,No
"swelling, fatigue, stiffness, muscle soreness, tenderness",Muscle Pain,Diclofenac,Mahanarayana Oil,Hot compress,Most muscle pain resolves with rest and gentle stretching,No
"confusion, fatigue, nausea, pale stools, jaundice",Liver Failure,Antibiotics,Kutki,Light diet,Liver failure is life-threatening and requires emergency hospitalization,Yes
"scaling, rough texture, itching",Dry Skin,Moisturizers,Ghee,Lukewarm water,Keep skin moisturized and avoid harsh products,No
"loss of appetite, dehydration, stomach pain, throwing up, weakness",Vomiting,Metoclopramide,Jeeraka,Rice water,Replace lost fluids and seek help if vomiting persists,No
